done;baseagent0_acts;baseagent1_acts;baseagent0_mssg;baseagent1_mssg;world_nr;tick_nr
False;MoveNorth;MoveEast;92;92;1;184
False;MoveNorth;MoveEast;92;92;1;185
False;MoveNorth;MoveEast;93;93;1;186
False;MoveNorth;OpenDoorAction;93;93;1;187
False;MoveNorth;OpenDoorAction;94;94;1;188
False;MoveNorth;MoveNorth;94;94;1;189
False;MoveNorth;MoveNorth;95;95;1;190
False;MoveNorth;GrabObject;95;95;1;191
False;MoveNorth;GrabObject;96;96;1;192
False;MoveNorth;MoveSouthEast;96;96;1;193
False;MoveNorth;MoveSouthEast;97;97;1;194
False;MoveNorth;MoveSouthEast;97;97;1;195
False;MoveNorth;MoveSouthEast;98;98;1;196
False;MoveNorth;MoveSouthEast;98;98;1;197
False;MoveNorth;MoveSouthEast;99;99;1;198
False;MoveNorthWest;MoveSouth;99;99;1;199
False;MoveNorthWest;MoveSouth;100;100;1;200
False;MoveNorthWest;MoveSouth;100;100;1;201
False;MoveNorthWest;MoveSouth;101;101;1;202
False;MoveWest;MoveSouth;101;101;1;203
False;MoveWest;MoveSouth;102;102;1;204
False;OpenDoorAction;MoveSouthWest;102;102;1;205
False;OpenDoorAction;MoveSouthWest;103;103;1;206
False;MoveNorth;MoveWest;103;103;1;207
False;MoveNorth;MoveWest;104;104;1;208
False;MoveNorthWest;MoveWest;104;104;1;209
False;MoveNorthWest;MoveWest;105;105;1;210
False;GrabObject;MoveWest;105;105;1;211
False;GrabObject;MoveWest;106;106;1;212
False;MoveSouthEast;MoveWest;106;106;1;213
False;MoveSouthEast;MoveWest;107;107;1;214
False;MoveSouthEast;MoveWest;107;107;1;215
False;MoveSouthEast;MoveWest;108;108;1;216
False;MoveSouthEast;MoveWest;108;108;1;217
False;MoveSouthEast;MoveWest;109;109;1;218
False;MoveSouthEast;MoveWest;109;109;1;219
False;MoveSouthEast;MoveWest;110;110;1;220
False;MoveSouth;MoveSouthWest;110;110;1;221
False;MoveSouth;MoveSouthWest;111;111;1;222
False;MoveSouth;DropObject;111;111;1;223
True;MoveSouth;DropObject;112;112;1;224
