done;baseagent0_acts;blindagent_acts;secondblind_acts;thirdblind_acts;fourthblind_acts;lazyagent_acts;baseagent0_mssg;blindagent_mssg;secondblind_mssg;thirdblind_mssg;fourthblind_mssg;lazyagent_mssg;world_nr;tick_nr
False;MoveSouthEast;MoveSouth;MoveEast;MoveEast;MoveSouth;MoveSouthEast;4;3;4;1;1;4;1;62
False;MoveEast;MoveNorthEast;MoveEast;MoveEast;MoveSouthWest;MoveEast;4;3;4;1;1;4;1;63
False;MoveEast;MoveNorthEast;MoveEast;MoveEast;MoveSouthWest;MoveEast;4;3;4;1;1;5;1;64
False;MoveEast;MoveSouth;MoveEast;MoveEast;MoveWest;MoveNorthEast;4;3;4;1;1;5;1;65
False;MoveEast;MoveSouth;MoveEast;MoveEast;MoveWest;MoveNorthEast;4;3;4;1;1;6;1;66
False;MoveEast;MoveSouthWest;MoveEast;MoveEast;MoveWest;MoveNorth;4;3;4;1;1;6;1;67
False;MoveEast;MoveSouthWest;MoveEast;MoveEast;MoveWest;MoveNorth;4;4;4;1;1;6;1;68
False;MoveSouthEast;MoveSouthWest;OpenDoorAction;OpenDoorAction;OpenDoorAction;MoveNorth;4;4;4;1;1;6;1;69
False;MoveSouthEast;MoveSouthWest;OpenDoorAction;OpenDoorAction;OpenDoorAction;MoveNorth;4;4;5;2;2;6;1;70
False;MoveEast;MoveWest;MoveNorth;MoveNorth;MoveNorth;MoveNorth;4;4;5;2;2;6;1;71
False;MoveEast;MoveWest;MoveNorth;MoveNorth;MoveNorth;MoveNorth;4;4;6;3;3;6;1;72
False;MoveSouthEast;MoveWest;MoveNorthWest;MoveNorthWest;MoveNorthWest;MoveNorthWest;4;4;6;3;3;6;1;73
False;MoveSouthEast;MoveWest;MoveNorthWest;MoveNorthWest;MoveNorthWest;MoveNorthWest;4;4;6;3;3;6;1;74
False;MoveEast;MoveNorthWest;MoveNorthWest;MoveNorthWest;MoveNorthWest;MoveNorthWest;4;4;6;3;3;6;1;75
False;MoveEast;MoveNorthWest;MoveNorthWest;MoveNorthWest;MoveNorthWest;MoveNorthWest;4;4;6;3;3;6;1;76
False;MoveEast;MoveNorth;GrabObject;MoveSouth;MoveSouth;MoveWest;4;4;6;3;3;6;1;77
False;MoveEast;MoveNorth;GrabObject;MoveSouth;MoveSouth;MoveWest;4;4;7;3;3;6;1;78
False;MoveSouthEast;MoveNorth;MoveSouthEast;MoveNorthEast;MoveNorthEast;OpenDoorAction;4;4;7;3;3;6;1;79
False;MoveSouthEast;MoveNorth;MoveSouthEast;MoveNorthEast;MoveNorthEast;OpenDoorAction;4;4;7;3;3;7;1;80
False;DropObject;MoveNorth;MoveSouthEast;MoveSouth;MoveSouth;MoveNorth;4;4;7;3;3;7;1;81
False;DropObject;MoveNorth;MoveSouthEast;MoveSouth;MoveSouth;MoveNorth;5;4;7;3;3;8;1;82
False;MoveNorth;MoveNorth;MoveSouthEast;MoveNorthEast;MoveNorthEast;MoveNorthWest;5;4;7;3;3;8;1;83
False;MoveNorth;MoveNorth;MoveSouthEast;MoveNorthEast;MoveNorthEast;MoveNorthWest;6;4;7;3;3;8;1;84
False;MoveNorth;MoveNorth;MoveSouthEast;GrabObject;GrabObject;MoveNorthWest;6;4;7;3;3;8;1;85
False;MoveNorth;MoveNorth;MoveSouthEast;GrabObject;GrabObject;MoveNorthWest;6;4;7;4;4;9;1;86
False;MoveNorth;MoveNorth;MoveEast;MoveSouth;MoveSouth;MoveSouthEast;6;4;7;4;4;9;1;87
False;MoveNorth;MoveNorth;MoveEast;MoveSouth;MoveSouth;MoveSouthEast;6;4;7;4;5;10;1;88
False;OpenDoorAction;MoveNorth;MoveEast;MoveSouth;MoveSouth;MoveSouthEast;6;4;7;4;5;10;1;89
False;OpenDoorAction;MoveNorth;MoveEast;MoveSouth;MoveSouth;MoveSouthEast;7;4;7;4;5;11;1;90
False;MoveNorth;MoveNorth;MoveEast;MoveSouthWest;MoveSouthWest;MoveSouthWest;7;4;7;4;5;11;1;91
False;MoveNorth;MoveNorth;MoveEast;MoveSouthWest;MoveSouthWest;MoveSouthWest;8;4;7;4;5;11;1;92
False;MoveNorthWest;MoveNorth;MoveEast;MoveSouthWest;MoveWest;MoveWest;8;4;7;4;5;11;1;93
False;MoveNorthWest;MoveNorth;MoveEast;MoveSouthWest;MoveWest;MoveWest;8;4;7;4;5;11;1;94
False;MoveNorthWest;MoveNorthEast;MoveEast;MoveSouthWest;MoveWest;MoveWest;8;4;7;4;5;11;1;95
False;MoveNorthWest;MoveNorthEast;MoveEast;MoveSouthWest;MoveWest;MoveWest;8;4;7;4;5;11;1;96
False;MoveSouth;MoveEast;MoveEast;DropObject;MoveWest;MoveWest;8;4;7;4;5;11;1;97
False;MoveSouth;MoveEast;MoveEast;DropObject;MoveWest;MoveWest;8;4;7;5;5;11;1;98
False;MoveNorthEast;MoveEast;MoveSouthEast;MoveNorthEast;MoveWest;MoveWest;8;4;7;5;5;11;1;99
False;MoveNorthEast;MoveEast;MoveSouthEast;MoveNorthEast;MoveWest;MoveWest;8;4;7;6;5;11;1;100
False;MoveSouth;MoveEast;MoveSouth;MoveNorthEast;MoveWest;MoveWest;8;4;7;6;5;11;1;101
False;MoveSouth;MoveEast;MoveSouth;MoveNorthEast;MoveWest;MoveWest;8;4;7;6;5;11;1;102
False;MoveNorthEast;MoveEast;MoveSouth;MoveEast;OpenDoorAction;OpenDoorAction;8;4;7;6;5;11;1;103
False;MoveNorthEast;MoveEast;MoveSouth;MoveEast;OpenDoorAction;OpenDoorAction;8;4;7;6;6;12;1;104
False;MoveSouth;MoveEast;MoveSouth;MoveEast;MoveNorth;MoveSouthWest;8;4;7;6;6;12;1;105
False;MoveSouth;MoveEast;MoveSouth;MoveEast;MoveNorth;MoveSouthWest;8;4;7;6;7;13;1;106
False;MoveNorthEast;MoveEast;MoveSouthWest;MoveEast;MoveNorthWest;MoveWest;8;4;7;6;7;13;1;107
False;MoveNorthEast;MoveEast;MoveSouthWest;MoveEast;MoveNorthWest;MoveWest;8;4;7;6;7;14;1;108
False;MoveSouth;MoveEast;MoveSouthWest;MoveNorthEast;MoveNorthWest;MoveWest;8;4;7;6;7;14;1;109
False;MoveSouth;MoveEast;MoveSouthWest;MoveNorthEast;MoveNorthWest;MoveWest;8;4;7;6;7;14;1;110
False;MoveSouthWest;MoveNorthEast;MoveSouthWest;MoveNorth;MoveSouth;MoveWest;8;4;7;6;7;14;1;111
False;MoveSouthWest;MoveNorthEast;MoveSouthWest;MoveNorth;MoveSouth;MoveWest;9;4;7;6;7;14;1;112
False;MoveSouthEast;MoveEast;MoveWest;MoveNorth;MoveNorthEast;MoveWest;9;4;7;6;7;14;1;113
False;MoveSouthEast;MoveEast;MoveWest;MoveNorth;MoveNorthEast;MoveWest;9;4;7;6;7;14;1;114
False;MoveEast;OpenDoorAction;MoveWest;MoveNorth;GrabObject;MoveWest;9;4;7;6;7;14;1;115
False;MoveEast;OpenDoorAction;MoveWest;MoveNorth;GrabObject;MoveWest;9;5;7;6;8;14;1;116
False;MoveEast;MoveNorth;MoveSouthWest;MoveNorth;MoveSouthEast;MoveWest;9;5;7;6;8;14;1;117
False;MoveEast;MoveNorth;MoveSouthWest;MoveNorth;MoveSouthEast;MoveWest;9;6;7;6;8;14;1;118
False;MoveEast;MoveNorthWest;DropObject;MoveNorth;MoveSouth;MoveWest;9;6;7;6;8;14;1;119
False;MoveEast;MoveNorthWest;DropObject;MoveNorth;MoveSouth;MoveWest;9;6;8;6;8;14;1;120
False;MoveEast;MoveNorthWest;MoveNorthEast;MoveNorth;MoveSouthEast;MoveWest;9;6;8;6;8;14;1;121
False;MoveEast;MoveNorthWest;MoveNorthEast;MoveNorth;MoveSouthEast;MoveWest;9;6;9;6;8;14;1;122
False;MoveEast;GrabObject;MoveNorthEast;MoveNorth;MoveSouthEast;MoveSouthWest;9;6;9;6;8;14;1;123
False;MoveEast;GrabObject;MoveNorthEast;MoveNorth;MoveSouthEast;MoveSouthWest;9;7;9;6;8;14;1;124
False;MoveEast;MoveSouthEast;MoveNorthEast;MoveNorth;MoveSouthEast;MoveSouth;9;7;9;6;8;14;1;125
False;MoveEast;MoveSouthEast;MoveNorthEast;MoveNorth;MoveSouthEast;MoveSouth;9;7;9;6;8;14;1;126
False;MoveEast;MoveSouthEast;OpenDoorAction;MoveNorth;DropObject;MoveSouth;9;7;9;6;8;14;1;127
False;MoveEast;MoveSouthEast;OpenDoorAction;MoveNorth;DropObject;MoveSouth;9;7;10;6;9;14;1;128
False;MoveNorthEast;MoveSouthEast;MoveNorth;MoveNorthWest;MoveNorthEast;MoveSouth;9;7;10;6;9;14;1;129
False;MoveNorthEast;MoveSouthEast;MoveNorth;MoveNorthWest;MoveNorthEast;MoveSouth;9;7;11;6;10;14;1;130
False;MoveNorth;MoveSouthEast;MoveNorthWest;MoveWest;MoveNorthEast;MoveSouthEast;9;7;11;6;10;14;1;131
False;MoveNorth;MoveSouthEast;MoveNorthWest;MoveWest;MoveNorthEast;MoveSouthEast;9;7;11;6;10;14;1;132
False;MoveNorth;MoveEast;MoveNorthWest;MoveWest;MoveEast;MoveEast;9;7;11;6;10;14;1;133
False;MoveNorth;MoveEast;MoveNorthWest;MoveWest;MoveEast;MoveEast;9;7;11;6;10;14;1;134
False;MoveNorth;MoveEast;MoveSouth;MoveWest;MoveEast;MoveEast;9;7;11;6;10;14;1;135
False;MoveNorth;MoveEast;MoveSouth;MoveWest;MoveEast;MoveEast;9;7;11;6;10;14;1;136
False;MoveNorth;MoveEast;MoveNorthEast;MoveWest;MoveEast;MoveEast;9;7;11;6;10;14;1;137
False;MoveNorth;MoveEast;MoveNorthEast;MoveWest;MoveEast;MoveEast;9;7;11;6;10;14;1;138
False;MoveNorth;MoveEast;MoveSouth;MoveWest;MoveNorthEast;MoveSouthEast;9;7;11;6;10;14;1;139
False;MoveNorth;MoveEast;MoveSouth;MoveWest;MoveNorthEast;MoveSouthEast;9;7;11;6;10;15;1;140
False;MoveNorth;MoveEast;MoveNorthEast;MoveWest;MoveNorth;MoveEast;9;7;11;6;10;15;1;141
False;MoveNorth;MoveEast;MoveNorthEast;MoveWest;MoveNorth;MoveEast;9;7;11;6;10;15;1;142
False;MoveNorth;MoveEast;MoveSouth;MoveNorthWest;MoveNorth;MoveEast;9;7;11;6;10;15;1;143
False;MoveNorth;MoveEast;MoveSouth;MoveNorthWest;MoveNorth;MoveEast;9;7;11;6;10;15;1;144
False;MoveNorth;MoveSouthEast;MoveNorthEast;MoveWest;MoveNorth;MoveEast;9;7;11;6;10;15;1;145
False;MoveNorth;MoveSouthEast;MoveNorthEast;MoveWest;MoveNorth;MoveEast;9;7;11;6;10;15;1;146
False;MoveNorth;MoveSouth;MoveSouth;OpenDoorAction;MoveNorthWest;MoveEast;9;7;11;6;10;15;1;147
False;MoveNorth;MoveSouth;MoveSouth;OpenDoorAction;MoveNorthWest;MoveEast;9;7;11;7;10;15;1;148
False;MoveNorthWest;MoveSouth;MoveSouthWest;MoveNorth;MoveNorthWest;MoveEast;9;7;11;7;10;15;1;149
False;MoveNorthWest;MoveSouth;MoveSouthWest;MoveNorth;MoveNorthWest;MoveEast;9;7;12;8;10;15;1;150
False;MoveWest;MoveSouth;MoveSouth;MoveNorthWest;MoveWest;MoveEast;9;7;12;8;10;15;1;151
False;MoveWest;MoveSouth;MoveSouth;MoveNorthWest;MoveWest;MoveEast;9;7;12;8;10;15;1;152
False;MoveWest;MoveSouth;OpenDoorAction;MoveNorthWest;OpenDoorAction;MoveEast;9;7;12;8;10;15;1;153
False;MoveWest;MoveSouth;OpenDoorAction;MoveNorthWest;OpenDoorAction;MoveEast;9;7;13;8;11;15;1;154
False;MoveWest;MoveSouth;MoveNorth;MoveSouth;MoveNorth;MoveEast;9;7;13;8;11;15;1;155
False;MoveWest;MoveSouth;MoveNorth;MoveSouth;MoveNorth;MoveEast;9;7;14;8;12;15;1;156
False;MoveWest;MoveSouth;MoveNorthWest;MoveNorthEast;MoveNorthWest;MoveEast;9;7;14;8;12;15;1;157
False;MoveWest;MoveSouth;MoveNorthWest;MoveNorthEast;MoveNorthWest;MoveEast;9;7;14;8;12;15;1;158
False;MoveWest;MoveSouth;MoveNorthWest;MoveSouth;MoveNorthWest;MoveEast;9;7;14;8;12;15;1;159
False;MoveWest;MoveSouth;MoveNorthWest;MoveSouth;MoveNorthWest;MoveEast;9;7;14;8;12;15;1;160
False;MoveWest;MoveSouth;MoveSouth;MoveNorthEast;MoveSouth;MoveEast;9;7;14;8;12;15;1;161
False;MoveWest;MoveSouth;MoveSouth;MoveNorthEast;MoveSouth;MoveEast;9;7;14;8;12;15;1;162
False;MoveNorthWest;MoveSouth;MoveNorthEast;MoveSouth;MoveNorthEast;MoveEast;9;7;14;8;12;15;1;163
False;MoveNorthWest;MoveSouth;MoveNorthEast;MoveSouth;MoveNorthEast;MoveEast;9;7;14;8;12;15;1;164
False;MoveWest;MoveSouthWest;MoveSouth;MoveNorthEast;MoveSouth;MoveEast;9;7;14;8;12;15;1;165
False;MoveWest;MoveSouthWest;MoveSouth;MoveNorthEast;MoveSouth;MoveEast;9;7;14;8;12;15;1;166
False;OpenDoorAction;MoveWest;MoveNorthEast;MoveSouth;MoveNorthEast;MoveSouthEast;9;7;14;8;12;15;1;167
False;OpenDoorAction;MoveWest;MoveNorthEast;MoveSouth;MoveNorthEast;MoveSouthEast;10;7;14;8;12;15;1;168
False;MoveNorth;MoveSouthWest;MoveSouth;MoveSouthWest;MoveSouth;MoveSouth;10;7;14;8;12;15;1;169
False;MoveNorth;MoveSouthWest;MoveSouth;MoveSouthWest;MoveSouth;MoveSouth;11;7;14;9;12;15;1;170
False;MoveNorthWest;MoveWest;MoveNorthEast;MoveSouthEast;GrabObject;MoveSouth;11;7;14;9;12;15;1;171
False;MoveNorthWest;MoveWest;MoveNorthEast;MoveSouthEast;GrabObject;MoveSouth;11;7;14;9;13;15;1;172
False;MoveNorthWest;MoveWest;MoveSouth;MoveSouthEast;MoveSouth;MoveSouth;11;7;14;9;13;15;1;173
False;MoveNorthWest;MoveWest;MoveSouth;MoveSouthEast;MoveSouth;MoveSouth;11;7;14;9;13;15;1;174
False;MoveSouth;MoveSouthWest;MoveSouthWest;MoveEast;MoveSouthEast;MoveSouthWest;11;7;14;9;13;15;1;175
False;MoveSouth;MoveSouthWest;MoveSouthWest;MoveEast;MoveSouthEast;MoveSouthWest;11;7;15;9;13;15;1;176
False;MoveNorthEast;DropObject;MoveSouthEast;MoveEast;MoveSouthEast;MoveWest;11;7;15;9;13;15;1;177
False;MoveNorthEast;DropObject;MoveSouthEast;MoveEast;MoveSouthEast;MoveWest;11;8;15;9;13;15;1;178
False;GrabObject;MoveNorthEast;MoveEast;MoveEast;MoveSouthEast;MoveWest;11;8;15;9;13;15;1;179
False;GrabObject;MoveNorthEast;MoveEast;MoveEast;MoveSouthEast;MoveWest;12;9;15;9;13;15;1;180
False;MoveSouth;MoveNorthEast;MoveNorthEast;MoveEast;MoveSouth;OpenDoorAction;12;9;15;9;13;15;1;181
False;MoveSouth;MoveNorthEast;MoveNorthEast;MoveEast;MoveSouth;OpenDoorAction;12;9;15;9;13;16;1;182
False;MoveSouthEast;MoveEast;MoveNorth;MoveEast;MoveSouth;OpenDoorAction;12;9;15;9;13;16;1;183
False;MoveSouthEast;MoveEast;MoveNorth;MoveEast;MoveSouth;OpenDoorAction;12;9;15;9;13;17;1;184
False;MoveSouthEast;MoveEast;MoveNorth;MoveEast;MoveSouth;MoveEast;12;9;15;9;13;17;1;185
False;MoveSouthEast;MoveEast;MoveNorth;MoveEast;MoveSouth;MoveEast;12;9;15;9;13;18;1;186
False;MoveSouthEast;MoveEast;MoveNorth;MoveSouthEast;MoveSouthWest;MoveEast;12;9;15;9;13;18;1;187
False;MoveSouthEast;MoveEast;MoveNorth;MoveSouthEast;MoveSouthWest;MoveEast;12;9;15;9;13;18;1;188
False;MoveEast;MoveNorthEast;MoveNorth;MoveSouth;MoveWest;MoveNorthEast;12;9;15;9;13;18;1;189
False;MoveEast;MoveNorthEast;MoveNorth;MoveSouth;MoveWest;MoveNorthEast;12;9;15;9;13;18;1;190
False;MoveEast;MoveNorth;MoveNorth;MoveSouth;MoveSouthWest;MoveNorth;12;9;15;9;13;18;1;191
False;MoveEast;MoveNorth;MoveNorth;MoveSouth;MoveSouthWest;MoveNorth;12;9;15;9;13;18;1;192
False;MoveEast;MoveNorth;MoveNorth;MoveSouth;MoveWest;MoveNorth;12;9;15;9;13;18;1;193
False;MoveEast;MoveNorth;MoveNorth;MoveSouth;MoveWest;MoveNorth;12;9;15;9;13;18;1;194
False;MoveEast;MoveNorth;MoveNorth;MoveSouthWest;MoveWest;MoveNorth;12;9;15;9;13;18;1;195
False;MoveEast;MoveNorth;MoveNorth;MoveSouthWest;MoveWest;MoveNorth;12;9;15;9;13;18;1;196
False;MoveEast;MoveNorth;MoveNorth;MoveWest;MoveSouthWest;MoveNorth;12;9;15;9;13;18;1;197
False;MoveEast;MoveNorth;MoveNorth;MoveWest;MoveSouthWest;MoveNorth;12;9;15;9;13;18;1;198
False;MoveEast;MoveNorth;MoveNorth;MoveWest;DropObject;MoveNorth;12;9;15;9;13;18;1;199
False;MoveEast;MoveNorth;MoveNorth;MoveWest;DropObject;MoveNorth;12;9;15;9;14;18;1;200
False;MoveSouthEast;MoveNorth;MoveNorthWest;OpenDoorAction;MoveWest;MoveNorth;12;9;15;9;14;18;1;201
False;MoveSouthEast;MoveNorth;MoveNorthWest;OpenDoorAction;MoveWest;MoveNorth;12;9;15;10;15;18;1;202
False;MoveSouth;MoveNorth;MoveWest;MoveNorth;MoveWest;MoveNorth;12;9;15;10;15;18;1;203
False;MoveSouth;MoveNorth;MoveWest;MoveNorth;MoveWest;MoveNorth;12;9;15;11;15;18;1;204
False;MoveSouth;MoveNorth;MoveWest;MoveNorthWest;MoveWest;MoveNorth;12;9;15;11;15;18;1;205
False;MoveSouth;MoveNorth;MoveWest;MoveNorthWest;MoveWest;MoveNorth;12;9;15;11;15;18;1;206
False;MoveSouth;MoveNorth;MoveWest;MoveNorthWest;MoveWest;MoveNorth;12;9;15;11;15;18;1;207
False;MoveSouth;MoveNorth;MoveWest;MoveNorthWest;MoveWest;MoveNorth;12;9;15;11;15;18;1;208
False;MoveSouth;MoveNorthWest;MoveWest;MoveSouth;MoveWest;MoveNorthWest;12;9;15;11;15;18;1;209
False;MoveSouth;MoveNorthWest;MoveWest;MoveSouth;MoveWest;MoveNorthWest;12;9;15;11;15;18;1;210
False;MoveSouth;MoveNorthWest;MoveWest;MoveNorthEast;MoveNorthWest;MoveNorthWest;12;9;15;11;15;18;1;211
False;MoveSouth;MoveNorthWest;MoveWest;MoveNorthEast;MoveNorthWest;MoveNorthWest;12;9;15;11;15;18;1;212
False;MoveSouth;MoveWest;MoveWest;MoveSouth;MoveWest;MoveWest;12;9;15;11;15;18;1;213
False;MoveSouth;MoveWest;MoveWest;MoveSouth;MoveWest;MoveWest;12;9;15;11;15;18;1;214
False;MoveSouth;OpenDoorAction;MoveNorthWest;MoveNorthEast;MoveNorthWest;MoveWest;12;9;15;11;15;18;1;215
False;MoveSouth;OpenDoorAction;MoveNorthWest;MoveNorthEast;MoveNorthWest;MoveWest;12;10;15;11;15;19;1;216
False;MoveSouth;MoveNorth;MoveWest;MoveSouth;MoveWest;MoveWest;12;10;15;11;15;19;1;217
False;MoveSouth;MoveNorth;MoveWest;MoveSouth;MoveWest;MoveWest;12;11;15;11;15;19;1;218
False;MoveSouth;MoveNorthWest;OpenDoorAction;MoveNorthEast;OpenDoorAction;MoveWest;12;11;15;11;15;19;1;219
False;MoveSouth;MoveNorthWest;OpenDoorAction;MoveNorthEast;OpenDoorAction;MoveWest;12;11;16;11;16;19;1;220
False;MoveSouthWest;MoveNorthWest;MoveNorth;MoveSouth;MoveNorth;MoveWest;12;11;16;11;16;19;1;221
False;MoveSouthWest;MoveNorthWest;MoveNorth;MoveSouth;MoveNorth;MoveWest;12;11;17;11;17;19;1;222
