done;baseagent0_acts;baseagent1_acts;baseagent2_acts;baseagent0_mssg;baseagent1_mssg;baseagent2_mssg;world_nr;tick_nr
False;MoveNorthWest;OpenDoorAction;MoveNorth;8;7;6;1;108
False;MoveNorthWest;MoveNorth;MoveNorthEast;8;7;6;1;109
False;MoveNorthWest;MoveNorth;MoveNorthEast;8;8;6;1;110
False;MoveSouth;MoveNorthWest;MoveEast;8;8;6;1;111
False;MoveSouth;MoveNorthWest;MoveEast;8;8;6;1;112
False;MoveNorthEast;MoveNorthWest;MoveNorthEast;8;8;6;1;113
False;MoveNorthEast;MoveNorthWest;MoveNorthEast;8;8;6;1;114
False;MoveSouth;MoveSouth;MoveEast;8;8;6;1;115
False;MoveSouth;MoveSouth;MoveEast;8;8;6;1;116
False;MoveNorthEast;MoveNorthEast;OpenDoorAction;8;8;6;1;117
False;MoveNorthEast;MoveNorthEast;OpenDoorAction;8;8;7;1;118
False;MoveSouth;MoveSouth;MoveNorth;8;8;7;1;119
False;MoveSouth;MoveSouth;MoveNorth;8;8;8;1;120
False;MoveNorthEast;MoveNorthEast;MoveNorthWest;8;8;8;1;121
False;MoveNorthEast;MoveNorthEast;MoveNorthWest;8;8;8;1;122
False;MoveSouth;MoveSouth;GrabObject;8;8;8;1;123
False;MoveSouth;MoveSouth;GrabObject;8;8;9;1;124
False;MoveSouthWest;MoveNorthEast;MoveSouthEast;8;8;9;1;125
False;MoveSouthWest;MoveNorthEast;MoveSouthEast;9;8;9;1;126
False;MoveSouthEast;MoveSouth;MoveSouthWest;9;8;9;1;127
False;MoveSouthEast;MoveSouth;MoveSouthWest;9;8;9;1;128
False;MoveEast;MoveSouthWest;MoveSouthWest;9;8;9;1;129
False;MoveEast;MoveSouthWest;MoveSouthWest;9;9;9;1;130
False;MoveEast;MoveSouthWest;MoveWest;9;9;9;1;131
False;MoveEast;MoveSouthWest;MoveWest;9;9;9;1;132
False;MoveEast;MoveWest;MoveSouthWest;9;9;9;1;133
False;MoveEast;MoveWest;MoveSouthWest;9;9;9;1;134
False;MoveEast;MoveWest;MoveSouth;9;9;9;1;135
False;MoveEast;MoveWest;MoveSouth;9;9;9;1;136
False;MoveEast;MoveWest;MoveSouth;9;9;9;1;137
False;MoveEast;MoveWest;MoveSouth;9;9;9;1;138
False;MoveEast;MoveWest;MoveSouth;9;9;9;1;139
False;MoveEast;MoveWest;MoveSouth;9;9;9;1;140
False;MoveEast;MoveWest;MoveSouthEast;9;9;9;1;141
False;MoveEast;MoveWest;MoveSouthEast;9;9;9;1;142
False;MoveNorthEast;OpenDoorAction;MoveEast;9;9;9;1;143
False;MoveNorthEast;OpenDoorAction;MoveEast;9;10;9;1;144
False;MoveNorth;MoveNorth;MoveEast;9;10;9;1;145
False;MoveNorth;MoveNorth;MoveEast;9;11;9;1;146
False;MoveNorth;MoveNorthWest;MoveEast;9;11;9;1;147
False;MoveNorth;MoveNorthWest;MoveEast;9;11;9;1;148
False;MoveNorth;MoveNorthWest;MoveEast;9;11;9;1;149
False;MoveNorth;MoveNorthWest;MoveEast;9;11;9;1;150
False;MoveNorthWest;MoveSouth;MoveEast;9;11;9;1;151
False;MoveNorthWest;MoveSouth;MoveEast;9;11;9;1;152
False;MoveNorthWest;MoveNorthEast;MoveSouthEast;9;11;9;1;153
False;MoveNorthWest;MoveNorthEast;MoveSouthEast;9;11;9;1;154
False;MoveWest;MoveSouth;MoveEast;9;11;9;1;155
False;MoveWest;MoveSouth;MoveEast;9;11;9;1;156
False;OpenDoorAction;MoveNorthEast;MoveEast;9;11;9;1;157
False;OpenDoorAction;MoveNorthEast;MoveEast;10;11;9;1;158
False;MoveNorth;MoveSouth;MoveSouthEast;10;11;9;1;159
False;MoveNorth;MoveSouth;MoveSouthEast;11;11;9;1;160
False;GrabObject;MoveNorthEast;DropObject;11;11;9;1;161
False;GrabObject;MoveNorthEast;DropObject;12;11;10;1;162
False;MoveSouthEast;MoveSouth;MoveEast;12;11;10;1;163
False;MoveSouthEast;MoveSouth;MoveEast;12;11;10;1;164
False;MoveSouthEast;MoveSouthWest;MoveNorthEast;12;11;10;1;165
False;MoveSouthEast;MoveSouthWest;MoveNorthEast;12;12;10;1;166
False;MoveSouthEast;MoveSouthEast;MoveEast;12;12;10;1;167
False;MoveSouthEast;MoveSouthEast;MoveEast;12;12;10;1;168
False;MoveSouth;MoveEast;GrabObject;12;12;10;1;169
False;MoveSouth;MoveEast;GrabObject;12;12;10;1;170
False;MoveSouth;MoveEast;MoveWest;12;12;10;1;171
False;MoveSouth;MoveEast;MoveWest;12;12;10;1;172
False;MoveSouth;MoveEast;MoveWest;12;12;10;1;173
False;MoveSouth;MoveEast;MoveWest;12;12;10;1;174
False;MoveSouthWest;MoveEast;MoveWest;12;12;10;1;175
False;MoveSouthWest;MoveEast;MoveWest;12;12;10;1;176
False;MoveWest;MoveEast;DropObject;12;12;10;1;177
True;MoveWest;MoveEast;DropObject;12;12;11;1;178
