done;baseagent_acts;strongagent_acts;blindagent_acts;baseagent_mssg;strongagent_mssg;blindagent_mssg;world_nr;tick_nr
False;MoveNorth;MoveNorthWest;MoveWest;4;6;6;1;109
False;MoveNorth;MoveNorthWest;MoveWest;4;6;6;1;110
False;MoveNorth;MoveNorthWest;MoveWest;4;6;6;1;111
False;MoveNorth;MoveNorthWest;MoveWest;4;6;6;1;112
False;MoveNorth;MoveSouth;MoveWest;4;6;6;1;113
False;MoveNorth;MoveSouth;MoveWest;4;6;6;1;114
False;MoveNorth;MoveNorthEast;MoveWest;4;6;6;1;115
False;MoveNorth;MoveNorthEast;MoveWest;4;6;6;1;116
False;MoveNorth;MoveSouth;MoveWest;4;6;6;1;117
False;MoveNorth;MoveSouth;MoveWest;4;6;6;1;118
False;MoveNorthEast;MoveNorthEast;MoveWest;4;6;6;1;119
False;MoveNorthEast;MoveNorthEast;MoveWest;4;6;6;1;120
False;MoveEast;MoveSouth;MoveWest;4;6;6;1;121
False;MoveEast;MoveSouth;MoveWest;4;6;6;1;122
False;MoveNorthEast;MoveNorthEast;MoveWest;4;6;6;1;123
False;MoveNorthEast;MoveNorthEast;MoveWest;4;6;6;1;124
False;MoveEast;MoveSouth;MoveNorthWest;4;6;6;1;125
False;MoveEast;MoveSouth;MoveNorthWest;4;6;6;1;126
False;OpenDoorAction;MoveSouthWest;MoveNorth;4;6;6;1;127
False;OpenDoorAction;MoveSouthWest;MoveNorth;5;7;6;1;128
False;MoveNorth;MoveSouthWest;MoveNorth;5;7;6;1;129
False;MoveNorth;MoveSouthWest;MoveNorth;6;7;6;1;130
False;MoveNorthWest;MoveWest;MoveNorth;6;7;6;1;131
False;MoveNorthWest;MoveWest;MoveNorth;6;7;6;1;132
False;MoveNorthWest;MoveWest;MoveNorthEast;6;7;6;1;133
False;MoveNorthWest;MoveWest;MoveNorthEast;6;7;6;1;134
False;GrabObject;MoveNorthWest;MoveEast;6;7;6;1;135
False;GrabObject;MoveNorthWest;MoveEast;6;7;6;1;136
False;MoveSouthEast;MoveNorth;MoveNorthEast;6;7;6;1;137
False;MoveSouthEast;MoveNorth;MoveNorthEast;6;7;6;1;138
False;MoveSouthEast;MoveNorth;MoveEast;6;7;6;1;139
False;MoveSouthEast;MoveNorth;MoveEast;6;7;6;1;140
False;MoveSouthWest;MoveNorth;OpenDoorAction;6;7;6;1;141
False;MoveSouthWest;MoveNorth;OpenDoorAction;6;7;7;1;142
False;MoveSouthWest;MoveNorthEast;MoveNorth;6;7;7;1;143
False;MoveSouthWest;MoveNorthEast;MoveNorth;6;7;8;1;144
False;MoveWest;MoveEast;MoveNorthWest;6;7;8;1;145
False;MoveWest;MoveEast;MoveNorthWest;6;7;8;1;146
False;MoveSouthWest;MoveNorthEast;MoveNorthWest;6;7;8;1;147
False;MoveSouthWest;MoveNorthEast;MoveNorthWest;6;7;8;1;148
False;MoveSouth;MoveEast;MoveSouth;6;7;8;1;149
False;MoveSouth;MoveEast;MoveSouth;6;7;8;1;150
False;MoveSouth;OpenDoorAction;MoveNorthEast;6;7;8;1;151
False;MoveSouth;OpenDoorAction;MoveNorthEast;6;8;8;1;152
False;MoveSouth;MoveNorth;MoveSouth;6;8;8;1;153
False;MoveSouth;MoveNorth;MoveSouth;6;9;8;1;154
False;MoveSouth;MoveNorthWest;MoveNorthEast;6;9;8;1;155
False;MoveSouth;MoveNorthWest;MoveNorthEast;6;9;8;1;156
False;MoveSouth;GrabObject;MoveSouth;6;9;8;1;157
False;MoveSouth;GrabObject;MoveSouth;6;10;8;1;158
False;MoveSouth;MoveSouthEast;MoveNorthEast;6;10;8;1;159
False;MoveSouth;MoveSouthEast;MoveNorthEast;6;10;8;1;160
False;MoveSouth;MoveSouthWest;MoveSouth;6;10;8;1;161
False;MoveSouth;MoveSouthWest;MoveSouth;6;10;8;1;162
False;MoveSouth;MoveSouthWest;MoveSouthWest;6;10;8;1;163
False;MoveSouth;MoveSouthWest;MoveSouthWest;6;10;9;1;164
False;MoveSouth;MoveWest;MoveSouthEast;6;10;9;1;165
False;MoveSouth;MoveWest;MoveSouthEast;6;10;9;1;166
False;MoveSouthEast;MoveSouthWest;MoveEast;6;10;9;1;167
False;MoveSouthEast;MoveSouthWest;MoveEast;6;10;9;1;168
False;MoveEast;MoveSouth;MoveEast;6;10;9;1;169
False;MoveEast;MoveSouth;MoveEast;6;10;9;1;170
False;MoveEast;MoveSouth;MoveEast;6;10;9;1;171
False;MoveEast;MoveSouth;MoveEast;6;10;9;1;172
False;MoveEast;MoveSouth;MoveEast;6;10;9;1;173
False;MoveEast;MoveSouth;MoveEast;6;10;9;1;174
False;MoveSouthEast;MoveSouthEast;MoveEast;6;10;9;1;175
False;MoveSouthEast;MoveSouthEast;MoveEast;6;10;9;1;176
False;MoveEast;MoveEast;MoveEast;6;10;9;1;177
False;MoveEast;MoveEast;MoveEast;6;10;9;1;178
False;MoveSouthEast;MoveEast;MoveEast;6;10;9;1;179
False;MoveSouthEast;MoveEast;MoveEast;6;10;9;1;180
False;MoveEast;MoveEast;MoveEast;6;10;9;1;181
False;MoveEast;MoveEast;MoveEast;6;10;9;1;182
False;MoveEast;MoveEast;MoveEast;6;10;9;1;183
False;MoveEast;MoveEast;MoveEast;6;10;9;1;184
False;MoveSouthEast;MoveEast;MoveEast;6;10;9;1;185
False;MoveSouthEast;MoveEast;MoveEast;6;10;9;1;186
False;DropObject;MoveEast;MoveEast;6;10;9;1;187
False;DropObject;MoveEast;MoveEast;7;10;9;1;188
False;MoveNorthEast;MoveEast;MoveEast;7;10;9;1;189
False;MoveNorthEast;MoveEast;MoveEast;8;10;9;1;190
False;MoveNorthEast;MoveEast;MoveEast;8;10;9;1;191
False;MoveNorthEast;MoveEast;MoveEast;8;10;9;1;192
False;MoveNorthEast;MoveSouthEast;MoveNorthEast;8;10;9;1;193
False;MoveNorthEast;MoveSouthEast;MoveNorthEast;8;10;9;1;194
False;MoveEast;MoveEast;MoveNorth;8;10;9;1;195
False;MoveEast;MoveEast;MoveNorth;8;10;9;1;196
False;MoveEast;MoveEast;MoveNorth;8;10;9;1;197
False;MoveEast;MoveEast;MoveNorth;8;10;9;1;198
False;MoveEast;MoveSouthEast;MoveNorth;8;10;9;1;199
False;MoveEast;MoveSouthEast;MoveNorth;8;10;9;1;200
False;MoveEast;DropObject;MoveNorthWest;8;10;9;1;201
False;MoveEast;DropObject;MoveNorthWest;8;11;9;1;202
False;MoveEast;MoveNorth;MoveNorthWest;8;11;9;1;203
False;MoveEast;MoveNorth;MoveNorthWest;8;11;9;1;204
False;MoveNorthEast;DropObject;MoveWest;8;11;9;1;205
False;MoveNorthEast;DropObject;MoveWest;8;12;9;1;206
False;MoveNorth;MoveSouth;OpenDoorAction;8;12;9;1;207
False;MoveNorth;MoveSouth;OpenDoorAction;8;12;10;1;208
False;MoveNorth;GrabObject;MoveNorth;8;12;10;1;209
False;MoveNorth;GrabObject;MoveNorth;8;12;11;1;210
False;MoveNorth;MoveWest;MoveNorthWest;8;12;11;1;211
False;MoveNorth;MoveWest;MoveNorthWest;8;12;11;1;212
False;MoveNorth;MoveWest;MoveNorthWest;8;12;11;1;213
False;MoveNorth;MoveWest;MoveNorthWest;8;12;11;1;214
False;MoveNorth;MoveWest;MoveSouth;8;12;11;1;215
False;MoveNorth;MoveWest;MoveSouth;8;12;11;1;216
False;MoveNorth;DropObject;MoveNorthEast;8;12;11;1;217
False;MoveNorth;DropObject;MoveNorthEast;8;13;11;1;218
False;MoveNorth;MoveEast;GrabObject;8;13;11;1;219
False;MoveNorth;MoveEast;GrabObject;8;13;12;1;220
False;MoveNorth;MoveEast;MoveSouth;8;13;12;1;221
False;MoveNorth;MoveEast;MoveSouth;8;13;12;1;222
False;MoveNorth;MoveEast;MoveSouthEast;8;13;12;1;223
False;MoveNorth;MoveEast;MoveSouthEast;8;13;12;1;224
