done;baseagent0_acts;baseagent1_acts;lazyagent0_acts;baseagent0_mssg;baseagent1_mssg;lazyagent0_mssg;world_nr;tick_nr
False;MoveWest;MoveNorth;MoveEast;54;54;54;1;109
False;MoveWest;MoveNorth;MoveEast;55;55;55;1;110
False;OpenDoorAction;MoveNorth;MoveEast;55;55;55;1;111
False;OpenDoorAction;MoveNorth;MoveEast;56;56;56;1;112
False;MoveNorth;MoveNorth;MoveEast;56;56;56;1;113
False;MoveNorth;MoveNorth;MoveEast;57;57;57;1;114
False;GrabObject;MoveNorth;MoveEast;57;57;57;1;115
False;GrabObject;MoveNorth;MoveEast;58;58;58;1;116
False;MoveSouthEast;MoveNorthWest;MoveEast;58;58;58;1;117
False;MoveSouthEast;MoveNorthWest;MoveEast;59;59;59;1;118
False;MoveSouthEast;MoveNorthWest;MoveEast;59;59;59;1;119
False;MoveSouthEast;MoveNorthWest;MoveEast;60;60;60;1;120
False;MoveSouthEast;MoveWest;MoveEast;60;60;60;1;121
False;MoveSouthEast;MoveWest;MoveEast;61;61;61;1;122
False;MoveSouth;OpenDoorAction;MoveEast;61;61;61;1;123
False;MoveSouth;OpenDoorAction;MoveEast;62;62;62;1;124
False;MoveSouth;MoveNorth;MoveEast;62;62;62;1;125
False;MoveSouth;MoveNorth;MoveEast;63;63;63;1;126
False;MoveSouth;MoveNorthWest;MoveEast;63;63;63;1;127
False;MoveSouth;MoveNorthWest;MoveEast;64;64;64;1;128
False;MoveSouthWest;GrabObject;MoveEast;64;64;64;1;129
False;MoveSouthWest;GrabObject;MoveEast;65;65;65;1;130
False;MoveWest;MoveSouthEast;MoveEast;65;65;65;1;131
False;MoveWest;MoveSouthEast;MoveEast;66;66;66;1;132
False;MoveWest;MoveSouthEast;MoveEast;66;66;66;1;133
False;MoveWest;MoveSouthEast;MoveEast;67;67;67;1;134
False;MoveWest;MoveSouthEast;MoveSouthEast;67;67;67;1;135
False;MoveWest;MoveSouthEast;MoveSouthEast;68;68;68;1;136
False;MoveWest;MoveSouthEast;MoveSouth;68;68;68;1;137
False;MoveWest;MoveSouthEast;MoveSouth;69;69;69;1;138
False;MoveSouthWest;MoveSouth;MoveSouth;69;69;69;1;139
False;MoveSouthWest;MoveSouth;MoveSouth;70;70;70;1;140
False;DropObject;MoveSouth;MoveSouth;70;70;70;1;141
False;DropObject;MoveSouth;MoveSouth;71;71;71;1;142
False;MoveNorthEast;MoveSouth;MoveSouthWest;71;71;71;1;143
False;MoveNorthEast;MoveSouth;MoveSouthWest;72;72;72;1;144
False;MoveEast;MoveSouth;MoveWest;72;72;72;1;145
False;MoveEast;MoveSouth;MoveWest;73;73;73;1;146
False;MoveEast;MoveSouth;MoveWest;73;73;73;1;147
False;MoveEast;MoveSouth;MoveWest;74;74;74;1;148
False;MoveEast;MoveSouth;OpenDoorAction;74;74;74;1;149
False;MoveEast;MoveSouth;OpenDoorAction;75;75;75;1;150
False;MoveEast;MoveSouth;MoveNorth;75;75;75;1;151
False;MoveEast;MoveSouth;MoveNorth;76;76;76;1;152
False;MoveNorthEast;MoveSouth;MoveNorthWest;76;76;76;1;153
False;MoveNorthEast;MoveSouth;MoveNorthWest;77;77;77;1;154
False;MoveNorth;MoveSouth;MoveNorthWest;77;77;77;1;155
False;MoveNorth;MoveSouth;MoveNorthWest;78;78;78;1;156
False;MoveNorth;MoveSouthWest;MoveSouth;78;78;78;1;157
False;MoveNorth;MoveSouthWest;MoveSouth;79;79;79;1;158
False;MoveNorth;MoveWest;MoveNorthEast;79;79;79;1;159
False;MoveNorth;MoveWest;MoveNorthEast;80;80;80;1;160
False;MoveNorth;MoveWest;MoveSouth;80;80;80;1;161
False;MoveNorth;MoveWest;MoveSouth;81;81;81;1;162
False;MoveNorth;MoveSouthWest;MoveNorthEast;81;81;81;1;163
False;MoveNorth;MoveSouthWest;MoveNorthEast;82;82;82;1;164
False;MoveNorth;MoveWest;MoveSouth;82;82;82;1;165
False;MoveNorth;MoveWest;MoveSouth;83;83;83;1;166
False;MoveNorth;MoveSouthWest;MoveNorthEast;83;83;83;1;167
False;MoveNorth;MoveSouthWest;MoveNorthEast;84;84;84;1;168
False;MoveNorth;MoveWest;MoveSouth;84;84;84;1;169
False;MoveNorth;MoveWest;MoveSouth;85;85;85;1;170
False;MoveNorth;MoveWest;MoveSouthWest;85;85;85;1;171
False;MoveNorth;MoveWest;MoveSouthWest;86;86;86;1;172
False;MoveNorthWest;MoveSouthWest;MoveSouthWest;86;86;86;1;173
False;MoveNorthWest;MoveSouthWest;MoveSouthWest;87;87;87;1;174
False;MoveWest;DropObject;MoveWest;87;87;87;1;175
False;MoveWest;DropObject;MoveWest;88;88;88;1;176
False;MoveWest;MoveNorthEast;MoveWest;88;88;88;1;177
False;MoveWest;MoveNorthEast;MoveWest;89;89;89;1;178
False;MoveWest;MoveNorthEast;MoveWest;89;89;89;1;179
False;MoveWest;MoveNorthEast;MoveWest;90;90;90;1;180
False;MoveWest;MoveNorthEast;MoveWest;90;90;90;1;181
False;MoveWest;MoveNorthEast;MoveWest;91;91;91;1;182
False;MoveWest;MoveEast;MoveWest;91;91;91;1;183
False;MoveWest;MoveEast;MoveWest;92;92;92;1;184
False;MoveWest;MoveEast;OpenDoorAction;92;92;92;1;185
False;MoveWest;MoveEast;OpenDoorAction;93;93;93;1;186
False;MoveNorthWest;MoveEast;MoveWest;93;93;93;1;187
False;MoveNorthWest;MoveEast;MoveWest;94;94;94;1;188
False;MoveWest;MoveEast;MoveSouthEast;94;94;94;1;189
False;MoveWest;MoveEast;MoveSouthEast;95;95;95;1;190
False;OpenDoorAction;MoveEast;MoveEast;95;95;95;1;191
False;OpenDoorAction;MoveEast;MoveEast;96;96;96;1;192
False;MoveNorth;MoveNorthEast;MoveEast;96;96;96;1;193
False;MoveNorth;MoveNorthEast;MoveEast;97;97;97;1;194
False;MoveNorthWest;MoveNorth;MoveEast;97;97;97;1;195
False;MoveNorthWest;MoveNorth;MoveEast;98;98;98;1;196
False;MoveNorthWest;MoveNorth;MoveEast;98;98;98;1;197
False;MoveNorthWest;MoveNorth;MoveEast;99;99;99;1;198
False;MoveSouth;MoveNorth;MoveEast;99;99;99;1;199
False;MoveSouth;MoveNorth;MoveEast;100;100;100;1;200
False;MoveNorthEast;MoveNorth;MoveEast;100;100;100;1;201
False;MoveNorthEast;MoveNorth;MoveEast;101;101;101;1;202
False;GrabObject;MoveNorth;MoveEast;101;101;101;1;203
False;GrabObject;MoveNorth;MoveEast;102;102;102;1;204
False;MoveSouth;MoveNorth;MoveEast;102;102;102;1;205
False;MoveSouth;MoveNorth;MoveEast;103;103;103;1;206
False;MoveSouthEast;MoveNorth;MoveSouthEast;103;103;103;1;207
False;MoveSouthEast;MoveNorth;MoveSouthEast;104;104;104;1;208
False;MoveSouthEast;MoveNorth;MoveSouth;104;104;104;1;209
False;MoveSouthEast;MoveNorth;MoveSouth;105;105;105;1;210
False;MoveSouthEast;MoveNorth;MoveSouth;105;105;105;1;211
False;MoveSouthEast;MoveNorth;MoveSouth;106;106;106;1;212
False;MoveEast;MoveNorthWest;MoveSouth;106;106;106;1;213
False;MoveEast;MoveNorthWest;MoveSouth;107;107;107;1;214
False;MoveEast;MoveWest;MoveSouthWest;107;107;107;1;215
False;MoveEast;MoveWest;MoveSouthWest;108;108;108;1;216
False;MoveEast;MoveWest;MoveWest;108;108;108;1;217
False;MoveEast;MoveWest;MoveWest;109;109;109;1;218
False;MoveEast;MoveWest;MoveWest;109;109;109;1;219
False;MoveEast;MoveWest;MoveWest;110;110;110;1;220
False;MoveEast;MoveWest;OpenDoorAction;110;110;110;1;221
False;MoveEast;MoveWest;OpenDoorAction;111;111;111;1;222
False;MoveEast;MoveWest;MoveNorth;111;111;111;1;223
False;MoveEast;MoveWest;MoveNorth;112;112;112;1;224
False;MoveSouthEast;MoveWest;MoveNorthWest;112;112;112;1;225
False;MoveSouthEast;MoveWest;MoveNorthWest;113;113;113;1;226
False;MoveSouth;MoveNorthWest;MoveNorthWest;113;113;113;1;227
False;MoveSouth;MoveNorthWest;MoveNorthWest;114;114;114;1;228
False;MoveSouth;MoveWest;MoveSouthEast;114;114;114;1;229
False;MoveSouth;MoveWest;MoveSouthEast;115;115;115;1;230
False;MoveSouth;OpenDoorAction;MoveSouthEast;115;115;115;1;231
False;MoveSouth;OpenDoorAction;MoveSouthEast;116;116;116;1;232
False;MoveSouth;MoveNorth;MoveSouthEast;116;116;116;1;233
False;MoveSouth;MoveNorth;MoveSouthEast;117;117;117;1;234
False;MoveSouth;MoveNorthWest;MoveEast;117;117;117;1;235
False;MoveSouth;MoveNorthWest;MoveEast;118;118;118;1;236
False;MoveSouth;MoveNorthWest;MoveNorthEast;118;118;118;1;237
False;MoveSouth;MoveNorthWest;MoveNorthEast;119;119;119;1;238
False;MoveSouth;MoveSouth;MoveNorth;119;119;119;1;239
False;MoveSouth;MoveSouth;MoveNorth;120;120;120;1;240
False;MoveSouth;MoveNorthEast;MoveNorth;120;120;120;1;241
False;MoveSouth;MoveNorthEast;MoveNorth;121;121;121;1;242
False;MoveSouth;MoveSouth;MoveNorth;121;121;121;1;243
False;MoveSouth;MoveSouth;MoveNorth;122;122;122;1;244
False;MoveSouthWest;MoveNorthEast;MoveNorthWest;122;122;122;1;245
False;MoveSouthWest;MoveNorthEast;MoveNorthWest;123;123;123;1;246
False;MoveWest;MoveSouth;MoveWest;123;123;123;1;247
False;MoveWest;MoveSouth;MoveWest;124;124;124;1;248
False;MoveWest;MoveNorthEast;MoveWest;124;124;124;1;249
False;MoveWest;MoveNorthEast;MoveWest;125;125;125;1;250
False;MoveWest;MoveSouth;MoveWest;125;125;125;1;251
False;MoveWest;MoveSouth;MoveWest;126;126;126;1;252
False;MoveWest;MoveSouthWest;MoveWest;126;126;126;1;253
False;MoveWest;MoveSouthWest;MoveWest;127;127;127;1;254
False;MoveSouthWest;MoveSouthWest;MoveWest;127;127;127;1;255
False;MoveSouthWest;MoveSouthWest;MoveWest;128;128;128;1;256
False;DropObject;MoveSouthWest;MoveWest;128;128;128;1;257
False;DropObject;MoveSouthWest;MoveWest;129;129;129;1;258
False;MoveWest;MoveWest;MoveWest;129;129;129;1;259
False;MoveWest;MoveWest;MoveWest;130;130;130;1;260
False;MoveWest;MoveWest;MoveWest;130;130;130;1;261
False;MoveWest;MoveWest;MoveWest;131;131;131;1;262
False;MoveWest;MoveWest;MoveWest;131;131;131;1;263
False;MoveWest;MoveWest;MoveWest;132;132;132;1;264
False;MoveWest;MoveWest;MoveWest;132;132;132;1;265
False;MoveWest;MoveWest;MoveWest;133;133;133;1;266
False;MoveWest;MoveWest;MoveWest;133;133;133;1;267
False;MoveWest;MoveWest;MoveWest;134;134;134;1;268
False;MoveWest;MoveWest;MoveWest;134;134;134;1;269
False;MoveWest;MoveWest;MoveWest;135;135;135;1;270
False;MoveWest;MoveWest;MoveNorthWest;135;135;135;1;271
False;MoveWest;MoveWest;MoveNorthWest;136;136;136;1;272
False;MoveNorthWest;MoveSouthWest;MoveWest;136;136;136;1;273
False;MoveNorthWest;MoveSouthWest;MoveWest;137;137;137;1;274
False;MoveWest;MoveSouth;OpenDoorAction;137;137;137;1;275
False;MoveWest;MoveSouth;OpenDoorAction;138;138;138;1;276
False;OpenDoorAction;MoveSouth;MoveNorth;138;138;138;1;277
False;OpenDoorAction;MoveSouth;MoveNorth;139;139;139;1;278
False;MoveNorth;MoveSouth;MoveNorthWest;139;139;139;1;279
False;MoveNorth;MoveSouth;MoveNorthWest;140;140;140;1;280
False;MoveNorthWest;MoveSouth;MoveNorthWest;140;140;140;1;281
False;MoveNorthWest;MoveSouth;MoveNorthWest;141;141;141;1;282
False;MoveNorthWest;MoveSouth;MoveSouthEast;141;141;141;1;283
False;MoveNorthWest;MoveSouth;MoveSouthEast;142;142;142;1;284
False;MoveSouth;MoveSouth;MoveSouthEast;142;142;142;1;285
False;MoveSouth;MoveSouth;MoveSouthEast;143;143;143;1;286
False;MoveNorthEast;MoveSouth;MoveSouthEast;143;143;143;1;287
False;MoveNorthEast;MoveSouth;MoveSouthEast;144;144;144;1;288
False;MoveSouth;MoveSouth;MoveEast;144;144;144;1;289
False;MoveSouth;MoveSouth;MoveEast;145;145;145;1;290
False;MoveNorthEast;MoveSouth;MoveEast;145;145;145;1;291
False;MoveNorthEast;MoveSouth;MoveEast;146;146;146;1;292
False;MoveSouth;MoveSouthEast;MoveEast;146;146;146;1;293
False;MoveSouth;MoveSouthEast;MoveEast;147;147;147;1;294
False;MoveNorthEast;MoveEast;MoveEast;147;147;147;1;295
False;MoveNorthEast;MoveEast;MoveEast;148;148;148;1;296
False;MoveSouth;MoveEast;MoveEast;148;148;148;1;297
False;MoveSouth;MoveEast;MoveEast;149;149;149;1;298
False;MoveSouthWest;MoveEast;OpenDoorAction;149;149;149;1;299
False;MoveSouthWest;MoveEast;OpenDoorAction;150;150;150;1;300
False;MoveSouthWest;OpenDoorAction;MoveNorth;150;150;150;1;301
False;MoveSouthWest;OpenDoorAction;MoveNorth;151;151;151;1;302
False;MoveWest;MoveNorth;MoveNorthWest;151;151;151;1;303
False;MoveWest;MoveNorth;MoveNorthWest;152;152;152;1;304
False;MoveWest;MoveNorthWest;MoveNorthWest;152;152;152;1;305
False;MoveWest;MoveNorthWest;MoveNorthWest;153;153;153;1;306
False;MoveNorthWest;MoveNorthWest;MoveSouth;153;153;153;1;307
False;MoveNorthWest;MoveNorthWest;MoveSouth;154;154;154;1;308
False;MoveNorth;MoveSouth;MoveEast;154;154;154;1;309
False;MoveNorth;MoveSouth;MoveEast;155;155;155;1;310
False;MoveNorth;MoveNorthEast;MoveSouthEast;155;155;155;1;311
False;MoveNorth;MoveNorthEast;MoveSouthEast;156;156;156;1;312
False;MoveNorth;MoveSouth;MoveSouthEast;156;156;156;1;313
False;MoveNorth;MoveSouth;MoveSouthEast;157;157;157;1;314
False;MoveNorthEast;MoveNorthEast;MoveEast;157;157;157;1;315
False;MoveNorthEast;MoveNorthEast;MoveEast;158;158;158;1;316
False;MoveEast;MoveSouth;MoveEast;158;158;158;1;317
False;MoveEast;MoveSouth;MoveEast;159;159;159;1;318
False;MoveEast;MoveNorthEast;MoveEast;159;159;159;1;319
False;MoveEast;MoveNorthEast;MoveEast;160;160;160;1;320
False;MoveEast;MoveSouth;MoveEast;160;160;160;1;321
False;MoveEast;MoveSouth;MoveEast;161;161;161;1;322
False;MoveEast;MoveSouthWest;MoveEast;161;161;161;1;323
False;MoveEast;MoveSouthWest;MoveEast;162;162;162;1;324
False;MoveEast;MoveSouthWest;MoveEast;162;162;162;1;325
False;MoveEast;MoveSouthWest;MoveEast;163;163;163;1;326
False;MoveEast;MoveWest;MoveEast;163;163;163;1;327
False;MoveEast;MoveWest;MoveEast;164;164;164;1;328
False;MoveEast;MoveWest;MoveNorthEast;164;164;164;1;329
False;MoveEast;MoveWest;MoveNorthEast;165;165;165;1;330
False;MoveNorthEast;MoveNorthWest;MoveNorth;165;165;165;1;331
False;MoveNorthEast;MoveNorthWest;MoveNorth;166;166;166;1;332
False;MoveEast;MoveNorth;MoveNorth;166;166;166;1;333
False;MoveEast;MoveNorth;MoveNorth;167;167;167;1;334
False;OpenDoorAction;MoveNorth;MoveNorth;167;167;167;1;335
False;OpenDoorAction;MoveNorth;MoveNorth;168;168;168;1;336
False;MoveNorth;MoveNorth;MoveNorthWest;168;168;168;1;337
False;MoveNorth;MoveNorth;MoveNorthWest;169;169;169;1;338
False;MoveNorthWest;MoveNorth;MoveWest;169;169;169;1;339
False;MoveNorthWest;MoveNorth;MoveWest;170;170;170;1;340
False;MoveNorthWest;MoveNorth;MoveWest;170;170;170;1;341
False;MoveNorthWest;MoveNorth;MoveWest;171;171;171;1;342
False;GrabObject;MoveNorth;MoveWest;171;171;171;1;343
False;GrabObject;MoveNorth;MoveWest;172;172;172;1;344
False;MoveSouthEast;MoveNorth;MoveWest;172;172;172;1;345
False;MoveSouthEast;MoveNorth;MoveWest;173;173;173;1;346
False;MoveSouthEast;MoveNorth;MoveWest;173;173;173;1;347
False;MoveSouthEast;MoveNorth;MoveWest;174;174;174;1;348
False;MoveSouthEast;MoveNorth;MoveWest;174;174;174;1;349
False;MoveSouthEast;MoveNorth;MoveWest;175;175;175;1;350
False;MoveSouthEast;MoveNorthEast;MoveNorthWest;175;175;175;1;351
False;MoveSouthEast;MoveNorthEast;MoveNorthWest;176;176;176;1;352
False;MoveEast;MoveEast;MoveWest;176;176;176;1;353
False;MoveEast;MoveEast;MoveWest;177;177;177;1;354
False;MoveEast;MoveNorthEast;OpenDoorAction;177;177;177;1;355
False;MoveEast;MoveNorthEast;OpenDoorAction;178;178;178;1;356
False;MoveEast;MoveEast;MoveWest;178;178;178;1;357
False;MoveEast;MoveEast;MoveWest;179;179;179;1;358
False;MoveEast;OpenDoorAction;MoveWest;179;179;179;1;359
False;MoveEast;OpenDoorAction;MoveWest;180;180;180;1;360
False;MoveEast;MoveNorth;MoveWest;180;180;180;1;361
False;MoveEast;MoveNorth;MoveWest;181;181;181;1;362
False;MoveEast;MoveNorthWest;MoveWest;181;181;181;1;363
False;MoveEast;MoveNorthWest;MoveWest;182;182;182;1;364
False;MoveSouthEast;MoveNorthWest;MoveWest;182;182;182;1;365
False;MoveSouthEast;MoveNorthWest;MoveWest;183;183;183;1;366
False;MoveSouth;GrabObject;MoveWest;183;183;183;1;367
False;MoveSouth;GrabObject;MoveWest;184;184;184;1;368
False;MoveSouth;MoveSouthEast;MoveSouthEast;184;184;184;1;369
False;MoveSouth;MoveSouthEast;MoveSouthEast;185;185;185;1;370
False;MoveSouth;MoveSouthEast;MoveWest;185;185;185;1;371
False;MoveSouth;MoveSouthEast;MoveWest;186;186;186;1;372
False;MoveSouthWest;MoveSouthWest;MoveWest;186;186;186;1;373
False;MoveSouthWest;MoveSouthWest;MoveWest;187;187;187;1;374
False;MoveWest;MoveSouthWest;MoveWest;187;187;187;1;375
False;MoveWest;MoveSouthWest;MoveWest;188;188;188;1;376
False;MoveWest;MoveWest;MoveWest;188;188;188;1;377
False;MoveWest;MoveWest;MoveWest;189;189;189;1;378
False;MoveWest;MoveSouthWest;MoveSouthWest;189;189;189;1;379
False;MoveWest;MoveSouthWest;MoveSouthWest;190;190;190;1;380
False;MoveWest;MoveSouth;MoveSouth;190;190;190;1;381
False;MoveWest;MoveSouth;MoveSouth;191;191;191;1;382
False;MoveSouthWest;MoveSouth;MoveSouth;191;191;191;1;383
False;MoveSouthWest;MoveSouth;MoveSouth;192;192;192;1;384
False;DropObject;MoveSouth;MoveSouth;192;192;192;1;385
False;DropObject;MoveSouth;MoveSouth;193;193;193;1;386
False;MoveNorthWest;MoveSouth;MoveSouth;193;193;193;1;387
False;MoveNorthWest;MoveSouth;MoveSouth;194;194;194;1;388
False;MoveWest;MoveSouth;MoveSouth;194;194;194;1;389
False;MoveWest;MoveSouth;MoveSouth;195;195;195;1;390
False;MoveWest;MoveSouth;MoveSouth;195;195;195;1;391
False;MoveWest;MoveSouth;MoveSouth;196;196;196;1;392
False;MoveWest;MoveSouth;MoveSouth;196;196;196;1;393
False;MoveWest;MoveSouth;MoveSouth;197;197;197;1;394
False;MoveWest;MoveSouth;MoveSouth;197;197;197;1;395
False;MoveWest;MoveSouth;MoveSouth;198;198;198;1;396
False;MoveWest;MoveSouth;MoveSouth;198;198;198;1;397
False;MoveWest;MoveSouth;MoveSouth;199;199;199;1;398
False;MoveWest;MoveSouthEast;MoveSouthEast;199;199;199;1;399
False;MoveWest;MoveSouthEast;MoveSouthEast;200;200;200;1;400
False;MoveWest;MoveEast;MoveEast;200;200;200;1;401
False;MoveWest;MoveEast;MoveEast;201;201;201;1;402
False;MoveWest;MoveEast;MoveEast;201;201;201;1;403
False;MoveWest;MoveEast;MoveEast;202;202;202;1;404
False;MoveWest;MoveEast;MoveEast;202;202;202;1;405
False;MoveWest;MoveEast;MoveEast;203;203;203;1;406
False;MoveWest;MoveEast;MoveEast;203;203;203;1;407
False;MoveWest;MoveEast;MoveEast;204;204;204;1;408
False;MoveWest;MoveEast;MoveEast;204;204;204;1;409
False;MoveWest;MoveEast;MoveEast;205;205;205;1;410
False;MoveNorthWest;MoveEast;MoveEast;205;205;205;1;411
False;MoveNorthWest;MoveEast;MoveEast;206;206;206;1;412
False;MoveNorth;MoveSouthEast;MoveEast;206;206;206;1;413
False;MoveNorth;MoveSouthEast;MoveEast;207;207;207;1;414
